soLuong,is_dangBaoChe_missing,so_luong_hoat_chat,hl_chinh_mg,tong_hl_phu_mg,tong_hl_iu,hc_phu_Hydroclorothiazid,hc_phu_Ibuprofen,hc_phu_Bchlinh,hc_phu_Camtho,hc_phu_Pyridoxinhydroclorid,hc_phu_Clorpheniraminmaleat,hc_phu_ngquy,hc_phu_Cafein,hc_phu_Phenylephrinhydroclorid,hc_phu_Trimethoprim,hc_phu_Hydrochlorothiazide,hc_phu_Guaifenesin,hc_phu_ngsm,hc_phu_Ezetimibe,hc_phu_PhenylephrinHCl,hc_phu_Hoisn,hc_phu_DextromethorphanHBr,hc_phu_Bchthc,hc_phu_Mchmn,hc_phu_Xuynkhung,hc_phu_Natribicarbonat,hc_phu_Phclinh,hc_phu_Munb,hc_phu_Sinha,hc_phu_Acidfolic,hc_phu_Trcht,hc_phu_VitaminD3,hc_phu_Huynsm,hc_phu_Ctcnh,hc_phu_Simethicon,hc_phu_Thca,hc_phu_Cyanocobalamin,hc_phu_Bchtrut,hc_phu_Acidclavulanic,hc_phu_Nicotinamid,hc_phu_Ttn,hc_phu_Magnesihydroxyd,hc_phu_Kaliclorid,hc_phu_Simvastatin,hc_phu_VitaminVitaminB6,hc_phu_Hongk,hc_phu_Tinhdubch,hc_phu_VitaminPP,hc_phu_Hesperidin,hc_phu_Cholecalciferol,hc_phu_VitaminVitaminB12,hc_phu_Snth,hc_phu_Ngvt,hc_phu_Toantonhn,hc_phu_Vinch,doanhNghiepSanXuat_encoded,nuocSanXuat_encoded,dangBaoChe_final_encoded,hoat_chat_chinh_encoded,loaiDongGoiChinh_encoded,donViCoSo_encoded
10.0,0,1,2.5,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4007.2243367346937,5718.406196636232,11197.7,6255.2012155012635,11549.67535135135,8241.263976737968
60.0,0,2,295.8,100.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9354.95625,5718.406196636232,3965.299045015106,6255.2012155012635,4843.539001709401,4442.153381439032
500.0,0,2,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,3194.0769278846155,4843.539001709401,4442.153381439032
100.0,0,1,75.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,3965.299045015106,6638.048378378378,4843.539001709401,4442.153381439032
20.0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7851.979,5718.406196636232,4580.532385650041,6255.2012155012635,4843.539001709401,4442.153381439032
60000.0,0,1,300.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,5396.189476190477,4843.539001709401,4442.153381439032
30.0,0,1,40.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,3965.299045015106,4656.3862375,4843.539001709401,4442.153381439032
300.0,0,1,90.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5533.884166666667,5718.406196636232,4580.532385650041,12830.176470588236,4843.539001709401,4442.153381439032
300.0,0,1,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,7190.455714285715,4843.539001709401,4442.153381439032
3000.0,0,6,50.0,395.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555.622726833334,5718.406196636232,4580.532385650041,1297.5555555555557,8062.490586826348,4442.153381439032
